voter_id,candidate,region
1,Alice,North
2,Bob,South
3,Charlie,East
4,Diana,West
5,Eve,Central
6,Frank,North
7,Grace,South
8,Helen,East
9,Ian,West
10,Jack,Central
11,Alice,North
12,Bob,South
13,Charlie,East
14,Diana,West
15,Eve,Central
16,Frank,North
17,Grace,South
18,Helen,East
19,Ian,West
20,Jack,Central
21,Alice,North
22,Bob,South
23,Charlie,East
24,Diana,West
25,Eve,Central
26,Frank,North
27,Grace,South
28,Helen,East
29,Ian,West
30,Jack,Central
31,Alice,North
32,Bob,South
33,Charlie,East
34,Diana,West
35,Eve,Central
36,Frank,North
37,Grace,South
38,Helen,East
39,Ian,West
40,Jack,Central
41,Alice,North
42,Bob,South
43,Charlie,East
44,Diana,West
45,Eve,Central
46,Frank,North
47,Grace,South
48,Helen,East
49,Ian,West
50,Jack,Central
