voter_id,candidate,region
1,Alice,North
2,Bob,South
3,Charlie,East
4,Diana,West
5,Eve,Central
6,Frank,Northeast
7,Grace,North
8,Helen,South
9,Ian,East
10,Jack,West
11,Alice,Central
12,Bob,Northeast
13,Charlie,North
14,Diana,South
15,Eve,East
16,Frank,West
17,Grace,Central
18,Helen,Northeast
19,Ian,North
20,Jack,South
21,Alice,East
22,Bob,West
23,Charlie,Central
24,Diana,Northeast
25,Eve,North
26,Frank,South
27,Grace,East
28,Helen,West
29,Ian,Central
30,Jack,Northeast
31,Alice,North
32,Bob,South
33,Charlie,East
34,Diana,West
35,Eve,Central
36,Frank,Northeast
37,Grace,North
38,Helen,South
39,Ian,East
40,Jack,West
41,Alice,Central
42,Bob,Northeast
43,Charlie,North
44,Diana,South
45,Eve,East
46,Frank,West
47,Grace,Central
48,Helen,Northeast
49,Ian,North
50,Jack,South
51,Alice,East
52,Bob,West
53,Charlie,Central
54,Diana,Northeast
55,Eve,North
56,Frank,South
57,Grace,East
58,Helen,West
59,Ian,Central
60,Jack,Northeast
61,Alice,North
62,Bob,South
63,Charlie,East
64,Diana,West
65,Eve,Central
66,Frank,Northeast
67,Grace,North
68,Helen,South
69,Ian,East
70,Jack,West
71,Alice,Central
72,Bob,Northeast
73,Charlie,North
74,Diana,South
75,Eve,East
76,Frank,West
77,Grace,Central
78,Helen,Northeast
79,Ian,North
80,Jack,South
81,Alice,East
82,Bob,West
83,Charlie,Central
84,Diana,Northeast
85,Eve,North
86,Frank,South
87,Grace,East
88,Helen,West
89,Ian,Central
90,Jack,Northeast
91,Alice,North
92,Bob,South
93,Charlie,East
94,Diana,West
95,Eve,Central
96,Frank,Northeast
97,Grace,North
98,Helen,South
99,Ian,East
100,Jack,West
101,Alice,Central
102,Bob,Northeast
103,Charlie,North
104,Diana,South
105,Eve,East
106,Frank,West
107,Grace,Central
108,Helen,Northeast
109,Ian,North
110,Jack,South
111,Alice,East
112,Bob,West
113,Charlie,Central
114,Diana,Northeast
115,Eve,North
116,Frank,South
117,Grace,East
118,Helen,West
119,Ian,Central
120,Jack,Northeast
121,Alice,North
122,Bob,South
123,Charlie,East
124,Diana,West
125,Eve,Central
126,Frank,Northeast
127,Grace,North
128,Helen,South
129,Ian,East
130,Jack,West
131,Alice,Central
132,Bob,Northeast
133,Charlie,North
134,Diana,South
135,Eve,East
136,Frank,West
137,Grace,Central
138,Helen,Northeast
139,Ian,North
140,Jack,South
141,Alice,East
142,Bob,West
143,Charlie,Central
144,Diana,Northeast
145,Eve,North
146,Frank,South
147,Grace,East
148,Helen,West
149,Ian,Central
150,Jack,Northeast
151,Alice,North
152,Bob,South
153,Charlie,East
154,Diana,West
155,Eve,Central
156,Frank,Northeast
157,Grace,North
158,Helen,South
159,Ian,East
160,Jack,West
161,Alice,Central
162,Bob,Northeast
163,Charlie,North
164,Diana,South
165,Eve,East
166,Frank,West
167,Grace,Central
168,Helen,Northeast
169,Ian,North
170,Jack,South
171,Alice,East
172,Bob,West
173,Charlie,Central
174,Diana,Northeast
175,Eve,North
176,Frank,South
177,Grace,East
178,Helen,West
179,Ian,Central
180,Jack,Northeast
181,Alice,North
182,Bob,South
183,Charlie,East
184,Diana,West
185,Eve,Central
186,Frank,Northeast
187,Grace,North
188,Helen,South
189,Ian,East
190,Jack,West
191,Alice,Central
192,Bob,Northeast
193,Charlie,North
194,Diana,South
195,Eve,East
196,Frank,West
197,Grace,Central
198,Helen,Northeast
199,Ian,North
200,Jack,South
201,Alice,East
202,Bob,West
203,Charlie,Central
204,Diana,Northeast
205,Eve,North
206,Frank,South
207,Grace,East
208,Helen,West
209,Ian,Central
210,Jack,Northeast
211,Alice,North
212,Bob,South
213,Charlie,East
214,Diana,West
215,Eve,Central
216,Frank,Northeast
217,Grace,North
218,Helen,South
219,Ian,East
220,Jack,West
221,Alice,Central
222,Bob,Northeast
223,Charlie,North
224,Diana,South
225,Eve,East
226,Frank,West
227,Grace,Central
228,Helen,Northeast
229,Ian,North
230,Jack,South
231,Alice,East
232,Bob,West
233,Charlie,Central
234,Diana,Northeast
235,Eve,North
236,Frank,South
237,Grace,East
238,Helen,West
239,Ian,Central
240,Jack,Northeast
241,Alice,North
242,Bob,South
243,Charlie,East
244,Diana,West
245,Eve,Central
246,Frank,Northeast
247,Grace,North
248,Helen,South
249,Ian,East
250,Jack,West
251,Alice,Central
252,Bob,Northeast
253,Charlie,North
254,Diana,South
255,Eve,East
256,Frank,West
257,Grace,Central
258,Helen,Northeast
259,Ian,North
260,Jack,South
261,Alice,East
262,Bob,West
263,Charlie,Central
264,Diana,Northeast
265,Eve,North
266,Frank,South
267,Grace,East
268,Helen,West
269,Ian,Central
270,Jack,Northeast
271,Alice,North
272,Bob,South
273,Charlie,East
274,Diana,West
275,Eve,Central
276,Frank,Northeast
277,Grace,North
278,Helen,South
279,Ian,East
280,Jack,West
281,Alice,Central
282,Bob,Northeast
283,Charlie,North
284,Diana,South
285,Eve,East
286,Frank,West
287,Grace,Central
288,Helen,Northeast
289,Ian,North
290,Jack,South
291,Alice,East
292,Bob,West
293,Charlie,Central
294,Diana,Northeast
295,Eve,North
296,Frank,South
297,Grace,East
298,Helen,West
299,Ian,Central
300,Jack,Northeast
301,Alice,North
302,Bob,South
